Year,Country,Code,Earths,HDI,Population,BiocapPerCap,BiocapTotGHA,EFConsPerCap,EFConsTotGHA,DeRe,Percentage,Region,Income,id
1999,New Zealand,NZ,3.5960545256438707,0.8650000095367432,3818131.0,12.4541232623315,47551460.1921382,6.77991946770772,25886613.1227171,5.67420379462378,0.4556084499168132,Asia-Pacific,HI,NZL
2000,New Zealand,NZ,3.2756123000353843,0.8690000176429749,3858999.0,12.536714100722305,48379179.7146874,6.09019493632427,23502062.2592754,6.44651916439803,0.5142112289237428,Asia-Pacific,HI,NZL
2001,New Zealand,NZ,3.4333429851726,0.8730000257492065,3907933.0,12.3938944057857,48434470.917963296,6.33725164256575,24765535.378321398,6.0566427632199495,0.4886795517954871,Asia-Pacific,HI,NZL
2002,New Zealand,NZ,3.484286964053967,0.8809999823570251,3963206.0,11.633560784569099,46106243.9825761,6.3407003779107205,25129526.89705589,5.292860406658381,0.4549647785980451,Asia-Pacific,HI,NZL
2003,New Zealand,NZ,3.637799642478893,0.8840000033378601,4022069.0,11.3771916014664,45759861.8022478,6.52419290834414,26240761.0168535,4.85299869312226,0.4265550641246791,Asia-Pacific,HI,NZL
2004,New Zealand,NZ,3.2153809086572287,0.8859999775886536,4080438.0,11.1422404471276,45465242.95721161,5.820238362597389,23749133.083247304,5.32200208453021,0.47764200654116995,Asia-Pacific,HI,NZL
2005,New Zealand,NZ,3.432949130484991,0.8880000114440918,4135355.0,10.956440035113499,45308715.36917129,6.0908041635453705,25187607.5925224,4.865635871568131,0.4440891252975061,Asia-Pacific,HI,NZL
2006,New Zealand,NZ,3.276884960797356,0.890999972820282,4185917.0,10.708105306230301,44823271.3268849,5.756429273025581,24095951.972822197,4.95167603320472,0.462423173063463,Asia-Pacific,HI,NZL
2007,New Zealand,NZ,3.437997857708192,0.8939999938011169,4233151.0,10.6436326010532,45056092.3057313,5.98670216510718,25342607.6855846,4.6569304359460215,0.4375320541865765,Asia-Pacific,HI,NZL
2008,New Zealand,NZ,3.312487541674302,0.8939999938011169,4278325.0,10.4989962307124,44918171.3639777,5.78723442524436,24759699.1106834,4.71176180546804,0.4487821218265479,Asia-Pacific,HI,NZL
2009,New Zealand,NZ,2.8370991693931007,0.8980000019073486,4323482.0,10.4360853254638,45120205.9791063,4.87606011008744,21081548.2695253,5.5600252153763625,0.5327692369292948,Asia-Pacific,HI,NZL
2010,New Zealand,NZ,3.159245969833408,0.8989999890327454,4370062.0,10.2714837882362,44887001.0454641,5.37323934034723,23481378.6265161,4.8982444478889695,0.476877980715782,Asia-Pacific,HI,NZL
2011,New Zealand,NZ,3.565605287375172,0.9020000100135804,4418365.0,10.1124404679086,44680504.7752451,6.03381296212497,26659618.884551603,4.07862750578363,0.4033277148801994,Asia-Pacific,HI,NZL
2012,New Zealand,NZ,3.132793029728299,0.9049999713897704,4467743.0,9.96188678472427,44507122.3984012,5.22064162785256,23324470.6500099,4.7412451568717096,0.475938470224538,Asia-Pacific,HI,NZL
2013,New Zealand,NZ,3.035097751031844,0.9070000052452089,4517527.0,9.79116074994159,44231860.319113895,5.081809940432629,22957227.7684075,4.709350809508959,0.4809798275998128,Asia-Pacific,HI,NZL
2014,New Zealand,NZ,3.1590152916875374,0.9100000262260436,4566700.0,9.66144419076446,44120919.0729649,5.262939557472401,24034267.105027106,4.39850463329206,0.4552636796781029,Asia-Pacific,HI,NZL
2015,New Zealand,NZ,3.164691970709545,0.9139999747276306,4614532.0,9.47488931855412,43722158.971526794,5.20733161993099,24029386.861357506,4.267557698623129,0.4504071293230013,Asia-Pacific,HI,NZL
2016,New Zealand,NZ,2.909803948470392,0.915000021457672,4660833.0,9.336578030707589,43516203.712283,4.74225505270678,22102844.987795997,4.594322978000808,0.4920778215412848,Asia-Pacific,HI,NZL
1990,Panama,PA,1.0727014088309352,0.6600000262260437,2471009.0,4.80067194143005,11862508.4208746,2.21890771701633,5482943.17949353,2.58176422441372,0.5377922623983029,Central America/Caribbean,UM,PAN
1991,Panama,PA,1.1628721704407523,0.6650000214576721,2523181.0,4.6701926453040885,11783736.3595269,2.3484025553206402,5925442.19899861,2.3217900899834505,0.497150817176252,Central America/Caribbean,UM,PAN
1992,Panama,PA,1.2732521859869337,0.6729999780654907,2576018.0,4.6237464565273,11910863.437251,2.57303352617385,6628185.87434893,2.0507129303534497,0.4435175997720372,Central America/Caribbean,UM,PAN
1993,Panama,PA,1.3004198406830636,0.6800000071525574,2629644.0,4.513435321837929,11868709.574876199,2.5766787180118502,6775737.14724102,1.93675660382608,0.429109196370938,Central America/Caribbean,UM,PAN
1994,Panama,PA,1.3874359545005883,0.6840000152587891,2684183.0,4.40170352906862,11814964.277757699,2.72955801851385,7326624.85554363,1.6721455105547705,0.3798859917556939,Central America/Caribbean,UM,PAN
1995,Panama,PA,1.318430487555121,0.6880000233650208,2739730.0,4.30507460324074,11794741.958653301,2.54516598478735,6973067.55379116,1.7599086184533903,0.4087986343206643,Central America/Caribbean,UM,PAN
1996,Panama,PA,1.2698032842631946,0.6940000057220459,2796344.0,4.22091812775263,11803122.5683389,2.45724542533469,6871293.88864923,1.76367270241794,0.4178410120825972,Central America/Caribbean,UM,PAN
1997,Panama,PA,1.1975590723931313,0.699999988079071,2853941.0,4.09211428022642,11678648.3891371,2.2948806426337796,6549451.52677258,1.7972336375926403,0.4391943906056304,Central America/Caribbean,UM,PAN
1998,Panama,PA,1.2503711334207808,0.7080000042915344,2912328.0,4.01364610801879,11689062.2833325,2.3804237398715897,6932579.65631082,1.6332223681471998,0.4069173823980681,Central America/Caribbean,UM,PAN
1999,Panama,PA,1.1903488211476667,0.7129999995231628,2971197.0,3.92972398268255,11675995.705465302,2.24425661188132,6668135.13563895,1.6854673708012302,0.4289022277973524,Central America/Caribbean,UM,PAN
2000,Panama,PA,1.208590754540516,0.718999981880188,3030347.0,3.8628105906534302,11705668.450614199,2.24707707115139,6809430.22200472,1.6157335195020397,0.4182792507122964,Central America/Caribbean,UM,PAN
2001,Panama,PA,1.2251332504473065,0.722000002861023,3089684.0,3.80462948979921,11755087.3819607,2.2613463721186604,6986836.50442337,1.54328311768055,0.4056329589565361,Central America/Caribbean,UM,PAN
2002,Panama,PA,1.2475102425075304,0.7279999852180481,3149265.0,3.72669250596653,11736323.677733699,2.27021733505888,7149504.66677761,1.45647517090765,0.390822470213412,Central America/Caribbean,UM,PAN
2003,Panama,PA,1.2851280112098242,0.7300000190734863,3209174.0,3.6511801016159,11717257.3614543,2.30480616885656,7396514.63284642,1.3463739327593398,0.3687503479117549,Central America/Caribbean,UM,PAN
2004,Panama,PA,1.2815926027518865,0.7350000143051147,3269541.0,3.5507959447943502,11609469.5120459,2.3198416124429198,7584815.03616545,1.2309543323514296,0.34666997244831044,Central America/Caribbean,UM,PAN
2005,Panama,PA,1.4742477242679806,0.7390000224113464,3330465.0,3.46262090306005,11532154.9375704,2.6156385765611803,8711305.73344968,0.8469823264988703,0.2446072932068191,Central America/Caribbean,UM,PAN
2006,Panama,PA,1.6646652433956928,0.7440000176429749,3391905.0,3.39844933126944,11527233.9725343,2.92427956779402,9918892.85177946,0.4741697634754201,0.13952532971803966,Central America/Caribbean,UM,PAN
2007,Panama,PA,1.6469863632396908,0.7509999871253967,3453807.0,3.32518541493461,11484558.8327904,2.867953161926009,9905365.47823582,0.4572322530086002,0.13750579169360144,Central America/Caribbean,UM,PAN
2008,Panama,PA,1.6496057405844995,0.7549999952316284,3516268.0,3.25793222855991,11455769.4209498,2.8820199351348994,10133960.2936062,0.3759122934250101,0.1153837056921141,Central America/Caribbean,UM,PAN
2009,Panama,PA,1.6512889202692669,0.7559999823570251,3579385.0,3.17880828450634,11378194.2440056,2.83803404590779,10158430.3787149,0.34077423859854994,0.10720188451109162,Central America/Caribbean,UM,PAN
2010,Panama,PA,1.7752651217959703,0.7580000162124634,3643222.0,3.1028633632817204,11304413.771471001,3.0193674323127904,11000219.7282926,0.08349593096893004,0.02690931607140484,Central America/Caribbean,UM,PAN
2011,Panama,PA,1.813238329399832,0.7639999985694885,3707782.0,3.03739203168291,11261981.516219301,3.0684105652671896,11376991.4155812,-0.03101853358427986,-0.010212225903250823,Central America/Caribbean,UM,PAN
2012,Panama,PA,1.4928500125365471,0.7710000276565552,3772938.0,2.96831945899531,11199291.0456968,2.48775927602994,9386166.33713724,0.4805601829653701,0.16189638265149053,Central America/Caribbean,UM,PAN
2013,Panama,PA,1.4753424641995618,0.7760000228881836,3838462.0,2.9250317614643597,11227617.300851401,2.47023674857352,9481904.85343589,0.4547950128908402,0.15548378615319922,Central America/Caribbean,UM,PAN
2014,Panama,PA,1.4130979631517353,0.781000018119812,3903986.0,2.8636740778003196,11179754.9350261,2.35423018952279,9190891.09460456,0.5094438882775298,0.17789869742050046,Central America/Caribbean,UM,PAN
2015,Panama,PA,1.462674991294941,0.781000018119812,3969249.0,2.80222458574861,11122729.936982699,2.4067535805529703,9553006.64960987,0.3954710051956401,0.14112751961670145,Central America/Caribbean,UM,PAN
2016,Panama,PA,1.3820587332266714,0.7850000262260437,4034119.0,2.7530914686918395,11106301.678307,2.25241120255783,9086497.34441703,0.5006802661340101,0.1818611084403648,Central America/Caribbean,UM,PAN
1990,Peru,PE,0.8293953434829241,0.6110000014305115,21826658.0,5.231581105333039,114188147.2246,1.7156234838148898,37446397.753851704,3.51595762151815,0.6720640568745088,South America,UM,PER
1991,Peru,PE,0.7977888786701132,0.6169999837875366,22283128.0,5.115510683278,113989434.108306,1.61112243365939,35900801.6721308,3.5043882496186103,0.6850514966323971,South America,UM,PER
1992,Peru,PE,0.8111862021054079,0.6169999837875366,22737056.0,5.03575440400874,114498449.492295,1.63927407072857,37272337.83322121,3.39648033328017,0.6744729906955715,South America,UM,PER
1993,Peru,PE,0.8686237638757609,0.621999979019165,23184228.0,4.96093446538735,115015292.956703,1.721109057489,39902535.26602,3.2398254078983504,0.6530675683185797,South America,UM,PER
1994,Peru,PE,0.9367571034217772,0.6330000162124634,23619356.0,4.87580818354972,115163665.715147,1.84291956306199,43528655.04767671,3.032888620487729,0.6220278785207881,South America,UM,PER
1995,Peru,PE,0.98039614974554,0.6430000066757202,24038760.0,4.7898644595505795,115142597.512326,1.89260712301642,45496005.5873665,2.8972573365341603,0.6048725096505135,South America,UM,PER
1996,Peru,PE,1.0073095571637087,0.6480000019073486,24441074.0,4.7441727161875304,115952797.920419,1.94928366614887,47642636.2512723,2.7948890500386603,0.5891204256755357,South America,UM,PER
1997,Peru,PE,0.9621409036046684,0.6539999842643738,24827406.0,4.6681458048797,115897924.979565,1.84374916116346,45775498.64408421,2.8243966437162404,0.6050360810846664,South America,UM,PER
1998,Peru,PE,1.0005968062123547,0.6650000214576721,25199748.0,4.609182812839951,116150020.527799,1.9049099326464,48003157.34149861,2.7042728801935496,0.5867141725557444,South America,UM,PER
1999,Peru,PE,0.9950886951782884,0.675000011920929,25561300.0,4.575586731459032,116957948.693521,1.8761176084578897,47956006.4907915,2.6994691230011405,0.589972233384013,South America,UM,PER
2000,Peru,PE,0.992646426601852,0.6779999732971191,25914880.0,4.5279657825907815,117341782.227998,1.84558173773669,47828066.896202795,2.6823840448540897,0.5924037798976701,South America,UM,PER
2001,Peru,PE,0.9925935099183908,0.6859999895095825,26261364.0,4.462739106504539,117197778.51481599,1.8321253886652402,48114178.397567295,2.6306137178393003,0.5894616859867795,South America,UM,PER
2002,Peru,PE,1.037882599469329,0.6869999766349792,26601468.0,4.42489395505264,117708816.54533301,1.8887372534394398,50243244.047369204,2.5361567016132005,0.5731564930990598,South America,UM,PER
2003,Peru,PE,0.9808557235588652,0.6859999895095825,26937738.0,4.35136955077357,117215884.14836599,1.7591106120926598,47386392.5610632,2.59225893868091,0.5957340346374552,South America,UM,PER
2004,Peru,PE,1.066359312100931,0.6930000185966492,27273192.0,4.28979923446189,116996549.12991999,1.930242653333,52643892.4248795,2.3595565811288903,0.5500389300677545,South America,UM,PER
2005,Peru,PE,1.1001154718959525,0.6980000138282776,27610410.0,4.235502367222351,116943916.214449,1.95184596156772,53891248.499709204,2.2836564056546296,0.5391701403185039,South America,UM,PER
2006,Peru,PE,1.1469927325290037,0.6949999928474426,27949944.0,4.210429602722121,117681087.997822,2.01489604318333,56316143.7044385,2.1955335595387897,0.5214511977873557,South America,UM,PER
2007,Peru,PE,1.1934644485417187,0.703000009059906,28292724.0,4.14041513597301,117143520.08284399,2.07822008441449,58798455.758704506,2.06219505155852,0.4980648036090946,South America,UM,PER
2008,Peru,PE,1.25663363338659,0.7120000123977661,28641980.0,4.11694598494379,117917566.90076001,2.19545985654603,62882361.21119139,1.92148612839776,0.4667260963405607,South America,UM,PER
2009,Peru,PE,1.2308919598237416,0.7149999737739563,29001508.0,4.059698434772,117737344.15603998,2.11550701148307,61352876.59352621,1.9441914232889297,0.47890045394421504,South America,UM,PER
2010,Peru,PE,1.2738163556035262,0.7170000076293945,29373646.0,4.01399586351332,117905507.328528,2.16650435567938,63638031.4956932,1.84749150783394,0.4602624344054234,South America,UM,PER
2011,Peru,PE,1.3591143572782067,0.7289999723434448,29759988.0,3.9492951228533695,117531022.856116,2.2999297917219303,68445910.6016445,1.6493653311314398,0.41763537031888665,South America,UM,PER
2012,Peru,PE,1.3292716420807793,0.7289999723434448,30158968.0,3.90695495594832,117829854.516445,2.21516416932679,66807136.1827266,1.6917907866215298,0.4330202947555837,South America,UM,PER
2013,Peru,PE,1.3870981988555735,0.7360000014305115,30565716.0,3.8472796405622702,117594792.303847,2.32248513673209,70988382.1293706,1.5247945038301798,0.3963305624457637,South America,UM,PER
2014,Peru,PE,1.364434254524076,0.7459999918937683,30973354.0,3.7957317332667295,117566718.749871,2.27315614159914,70407375.32415842,1.5225755916675898,0.40112834590583984,South America,UM,PER
2015,Peru,PE,1.4558103273667256,0.7450000047683716,31376672.0,3.74836616022282,117611357.571052,2.39545814268273,75161569.63406159,1.35290801754009,0.3609327263427399,South America,UM,PER
2016,Peru,PE,1.3733254823069412,0.7480000257492065,31773840.0,3.68420000241024,117061036.91486399,2.23817818066561,71115427.6254097,1.4460218217446297,0.3924927584817948,South America,UM,PER
1990,Papua New Guinea,PG,0.7836956235481323,0.3799999952316284,4313059.0,6.25383592091424,26973169.9234941,1.6210925543372199,6991869.54739556,4.632743366577018,0.7407842842636915,Asia-Pacific,LM,PNG
1991,Papua New Guinea,PG,0.7517386401135724,0.3880000114440918,4423007.0,6.070387404006128,26849382.7690461,1.5181246815003402,6714680.29171236,4.55226272250579,0.7499130483009274,Asia-Pacific,LM,PNG
