Year,Country,Cropland,Grazing,Forest,Fishing,Builtup,Carbon
1976,Northern Africa,0.34772703164374225,0.6707544516890521,0.21839514092024173,0.205865097731103,0.044298567272458435,0.0
1977,Northern Africa,0.2778367902948166,0.6571190265529335,0.2128428021468577,0.20144961847261564,0.03936601033366922,0.0
1978,Northern Africa,0.3053850611530366,0.6414649331251572,0.20699885891396708,0.1964299164622661,0.04461454336093722,0.0
1979,Northern Africa,0.2884474217040248,0.6260528754111843,0.2021579921901055,0.19148522045316016,0.0453838520670054,0.0
1980,Northern Africa,0.2966342945990279,0.6113001196242985,0.19577325342088872,0.18625143304272967,0.04638942471899033,0.0
1981,Northern Africa,0.2707879545781456,0.5820949252622591,0.19053064054591207,0.1814450508982688,0.04400052729059576,0.0
1982,Northern Africa,0.27004698510571706,0.5626400883477563,0.1854943750917091,0.1754189687033673,0.04591859281589145,0.0
1983,Northern Africa,0.256271712668222,0.5468352151930259,0.18046619477941436,0.17009168900303132,0.04549329756858097,0.0
1984,Northern Africa,0.23569919834091335,0.5283542250951986,0.1754842747529359,0.16431438575933496,0.04313982837152052,0.0
1985,Northern Africa,0.3015660723976915,0.5170100112068444,0.17088351125555995,0.15900850472245026,0.04932834904713805,0.0
1986,Northern Africa,0.3094353996180838,0.5091712691148081,0.16553512516159058,0.15369993936612955,0.05099500419709218,0.0
1987,Northern Africa,0.27174665122004177,0.5020407621464349,0.16209549631535894,0.14952137413499514,0.05055624286638053,0.0
1988,Northern Africa,0.2921523804540944,0.4979957853078506,0.15874463071432005,0.14543881688135785,0.05248902328802795,0.0
1989,Northern Africa,0.2789184889426543,0.4915817783176831,0.15559085493305327,0.14170920846580745,0.05401471759608382,0.0
1990,Northern Africa,0.27738013605197004,0.4807617359995106,0.15050714628177153,0.1386194298985079,0.056723746604717525,0.0
1991,Northern Africa,0.3435771473888951,0.4692956470196648,0.14661780802155686,0.1352616421823858,0.06401137178195722,0.0
1992,Northern Africa,0.3027451455512032,0.4663114383369778,0.14470672323374476,0.1335127192894429,0.05765971524611235,0.0
1993,Northern Africa,0.26637426603680875,0.459493907365114,0.14104196718701656,0.13070195690046638,0.05199852099940884,0.0
1994,Northern Africa,0.30715140910479805,0.4540393839863186,0.13781489081138404,0.12779773482513712,0.05451537258177858,0.0
1995,Northern Africa,0.2545050638525179,0.4448025243891648,0.13454669816386328,0.1249123049054756,0.05352414592102235,0.0
1996,Northern Africa,0.3785525916751464,0.4366912104647887,0.131785545617118,0.12237612968371896,0.0663540235340717,0.0
1997,Northern Africa,0.2754130618219873,0.4294069879452719,0.12876411155977954,0.1200823380523878,0.05855232720390055,0.0
1998,Northern Africa,0.3221845098285909,0.4229759552562036,0.12595192367800054,0.11793305022945726,0.06323235626197242,0.0
1999,Northern Africa,0.29559120544809714,0.4163843464379027,0.12309448477928657,0.11587154377503504,0.06061687971189165,0.0
2000,Northern Africa,0.2575074895211095,0.4110553619618966,0.12037350672414053,0.11396306729554907,0.06161773621243957,0.0
