Year,Country,Cropland,Grazing,Forest,Fishing,Builtup,Carbon
2006,World,0.28948959191266416,0.0924510431929389,0.16849763309103172,0.05377655929586905,0.031426440335931206,0.945891830964136
2007,World,0.2928997567491387,0.0920071338318272,0.1694506857839136,0.05279441817146485,0.03215246632666716,0.9804623203345558
2008,World,0.30203231459318025,0.09034721640456236,0.15906192704424452,0.05139290618835399,0.03348144326828091,0.978645312025978
2009,World,0.3019092343429886,0.0907017099518129,0.1529601183818799,0.05133762520885295,0.033906717967046716,0.962005816177416
2010,World,0.3032085516631855,0.08854341473271092,0.16299799232373824,0.051476234905451834,0.03449527598324069,1.0298392017515352
2011,World,0.3092305010088022,0.08678455552559967,0.16544671410146405,0.051220471726256885,0.03531312875428035,1.0459732180367398
2012,World,0.30903699021475045,0.08794229650589609,0.1666019335325414,0.05245088235704453,0.03546561300285786,1.042051325615444
2013,World,0.3193331472569242,0.0863322725116408,0.1658975796574021,0.05377939985386506,0.03700431816326029,1.040885913398077
2014,World,0.32385956837292024,0.08624430054741948,0.16598607771816756,0.05562375428582631,0.03775604454884305,1.0256940738160516
2015,World,0.3261482772899451,0.08633650425499215,0.1647934871279338,0.05515446171629828,0.03822094773428237,1.0171678907012716
2016,World,0.3274393630049036,0.08603107183483634,0.16781426409295475,0.05507538281471424,0.0388368263018476,1.01011447012455
1961,Western Europe,0.2379888268609275,0.12030666905063872,0.14566390205744698,0.06204402682033532,0.02096278768336414,0.7792210830833571
1962,Western Europe,0.2799023434314241,0.12317063849826072,0.14966830709528856,0.06310942202001737,0.024235090156946797,0.8456720794374468
1963,Western Europe,0.2661632116101744,0.11827794985939967,0.14397195591177586,0.0652657635130801,0.02485312033821033,0.9230032375285128
1964,Western Europe,0.2708486366971957,0.1260806742805463,0.15637571593242894,0.06290656326034849,0.02559654354881697,0.9812754325074206
1965,Western Europe,0.27619647071449893,0.12687645057913002,0.15776478666675084,0.06932030307524922,0.02544781991355332,1.0024876211068794
1966,Western Europe,0.2717035787617209,0.12152586808701638,0.16708251502516885,0.07353181715969577,0.02465340256840725,1.0104054125497066
1967,Western Europe,0.30809742056486233,0.11400006406192527,0.1647219672980863,0.07833863348913697,0.030690497693348986,1.0254939536967234
1968,Western Europe,0.29963058634275763,0.12228207661401562,0.1828222646169087,0.07640078084533923,0.031068295077266782,1.109487691339896
1969,Western Europe,0.3011970911246545,0.13178907301750029,0.20192702242653698,0.07717034437769557,0.03171110709995907,1.2336357251481322
1970,Western Europe,0.31154831497466995,0.13070284593484185,0.2166728487815176,0.0768055574837293,0.030623754508240338,1.5625058676494006
1971,Western Europe,0.3398856351033185,0.13211759108704396,0.2137219229769927,0.07508363627759426,0.03460567932603121,1.6095630604084226
1972,Western Europe,0.3591960156093533,0.14452644942274276,0.21757397009372986,0.07466892392000372,0.036403917972260884,1.7122559202615846
1973,Western Europe,0.3571931338624548,0.12848587252597887,0.2403701545821039,0.07664475266392866,0.03732069440910192,1.8148569813691549
1974,Western Europe,0.3520132903952064,0.11974299294173145,0.24079855336831135,0.0843335750567549,0.03927202922363705,1.7262141196705116
1975,Western Europe,0.34723072961915635,0.1265006656740906,0.2083620270493323,0.07852530618887911,0.03673848139865018,1.6420749815042697
1976,Western Europe,0.34433538557376075,0.1469283182471935,0.2299209851214343,0.07784536253488761,0.03317507802668177,1.7973376332267208
1977,Western Europe,0.37588766903683735,0.1404865942553546,0.24128928652627304,0.0724901144148369,0.03771577075126212,1.8029814899599763
1978,Western Europe,0.4113211442473183,0.1455270180172952,0.2466021140516994,0.07132325070249601,0.04074697390131676,1.8542613721390204
1979,Western Europe,0.4030134607696125,0.14892474613997442,0.260777731082344,0.06929633585716109,0.041514067432028096,1.9855832144755168
1980,Western Europe,0.4256590746851361,0.14486292764686595,0.27535300038950355,0.06901309954123305,0.0444022615008365,1.9218841826466653
1981,Western Europe,0.39591621305676095,0.13887230405112808,0.2605686605033488,0.06953278610154473,0.044056839261120334,1.7468663655255132
1982,Western Europe,0.4455997469512489,0.13495280969887652,0.2566392876614381,0.06826193708002262,0.04821076214445589,1.6776247874193504
1983,Western Europe,0.4256367497637242,0.14465326909233908,0.2650144755943334,0.0685188361595089,0.045531076520256716,1.6644588442878026
1984,Western Europe,0.4751855468530396,0.1421641054680624,0.2678242367643004,0.06700409231577391,0.05403705635199716,1.6634888627814897
1985,Western Europe,0.4592782926412139,0.1466034492506143,0.2646472548815107,0.07032128670538397,0.054523258207966316,1.7247910473342611
1986,Western Europe,0.4425475749534867,0.14534466284252295,0.2761419952864337,0.0681784377181211,0.05300523603166148,1.7836573177086277
1987,Western Europe,0.4585760455190025,0.14974291180811078,0.28570737776720884,0.06870468570827415,0.056150476728553764,1.8092491530897932
1988,Western Europe,0.4743505976170048,0.154932047193548,0.31863011783926026,0.06846503869256862,0.05973012721944691,1.8693905021071962
1989,Western Europe,0.4613397586153397,0.15630215979898052,0.3384473587870169,0.06604454575096713,0.05995696702159435,1.87667035391198
1990,Western Europe,0.4763030707567614,0.15269667590376326,0.4151617568288769,0.06371078345832637,0.059588628315487,1.8927193693083568
1991,Western Europe,0.4910182253439531,0.16022976458039676,0.3078428191711676,0.060875882647137475,0.06382508166931478,1.9605970437750733
1992,Western Europe,0.4574575092610489,0.16727345994844606,0.3034740403237834,0.058970491309122734,0.06028517774989465,1.909789031339299
1993,Western Europe,0.4355601626447285,0.1571015789962685,0.30142056054993016,0.058694308735999026,0.05972886158707955,1.8121098884160047
